book_name,quantity,price,author,genre,description
The Great Gatsby,15,9.99,F. Scott Fitzgerald,Literary Fiction,"The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, set against the backdrop of the Roaring Twenties."
1984,20,12.99,George Orwell,Dystopian Fiction,"A dystopian social science fiction novel that tells the story of Winston Smith and his attempt to rebel against the totalitarian state in which he lives."
To Kill a Mockingbird,18,14.99,Harper Lee,Literary Fiction,"A story of racial injustice and the loss of innocence in the American South, told through the eyes of young Scout Finch."
Pride and Prejudice,12,11.99,Jane Austen,Classic Romance,"A romantic novel following the emotional development of Elizabeth Bennet, who learns the error of making hasty judgments and comes to appreciate the difference between superficial and actual goodness."
The Catcher in the Rye,10,13.99,J.D. Salinger,Literary Fiction,"The story of 16-year-old Holden Caulfield's experiences in New York City after being expelled from his boarding school."
The Hobbit,25,16.99,J.R.R. Tolkien,Fantasy,"The tale of Bilbo Baggins, a hobbit who embarks on an unexpected journey with thirteen dwarves to reclaim their mountain home from a dragon."
Animal Farm,22,10.99,George Orwell,Dystopian Fiction,"A dystopian social science fiction novel that tells the story of the animals on a farm who rebel against their human farmer and establish their own dictatorship."
The Lord of the Rings,30,24.99,J.R.R. Tolkien,Fantasy,"An epic high-fantasy novel that follows the journey of Frodo Baggins to destroy the One Ring and defeat the Dark Lord Sauron."
Brave New World,15,11.99,Aldous Huxley,Dystopian Fiction,"A dystopian social science fiction novel that tells the story of the inhabitants of a futuristic society where human happiness is assured through the systematic suppression of individuality and critical thought."
Fahrenheit 451,20,12.99,Ray Bradbury,Dystopian Fiction,"A dystopian social science fiction novel that tells the story of a fireman whose job is to burn books, which are forbidden, and to burn down houses where books are found."
Harry Potter and the Philosopher's Stone,50,19.99,J.K. Rowling,Fantasy,"The story of a young wizard who discovers his magical heritage on his eleventh birthday, when he receives a letter of acceptance to Hogwarts School of Witchcraft and Wizardry."
The Da Vinci Code,55,20.99,Dan Brown,Mystery Thriller,"A mystery thriller following symbologist Robert Langdon as he investigates a murder in Paris's Louvre Museum and discovers a battle between the Priory of Sion and Opus Dei."
The Alchemist,60,17.99,Paulo Coelho,Philosophical Fiction,"A philosophical novel about a young Andalusian shepherd who yearns to travel in search of worldly treasure, only to find it back home." 
